,name,owner,url,stargazers,createdAt,updatedAt,pullRequestMerged,pullRequestClosed
46,TypeScript,microsoft,https://github.com/microsoft/TypeScript,79752,2014-06-17T15:28:39Z,2022-04-17T15:02:31Z,11691,2473
47,ant-design,ant-design,https://github.com/ant-design/ant-design,79447,2015-04-24T15:37:24Z,2022-04-17T14:00:24Z,8362,2245
48,awesome-go,avelino,https://github.com/avelino/awesome-go,78959,2014-07-06T13:42:15Z,2022-04-17T14:29:44Z,2704,1032
49,material-ui,mui,https://github.com/mui/material-ui,77485,2014-08-18T19:11:54Z,2022-04-17T14:22:08Z,13132,2903
50,puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,77364,2017-05-09T22:16:13Z,2022-04-17T14:53:15Z,2290,525
51,nodebestpractices,goldbergyoni,https://github.com/goldbergyoni/nodebestpractices,76770,2017-09-15T08:33:19Z,2022-04-17T14:43:27Z,723,126
52,vue-element-admin,PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,75474,2017-04-17T03:35:49Z,2022-04-17T14:27:04Z,313,147
53,java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,74312,2014-08-09T16:45:18Z,2022-04-17T14:43:00Z,846,364
54,animate.css,animate-css,https://github.com/animate-css/animate.css,74259,2011-10-12T10:07:38Z,2022-04-17T15:03:15Z,306,366
55,models,tensorflow,https://github.com/tensorflow/models,73342,2016-02-05T01:15:20Z,2022-04-17T13:02:23Z,2223,1218
56,PowerToys,microsoft,https://github.com/microsoft/PowerToys,71889,2019-05-01T17:44:02Z,2022-04-17T15:03:37Z,3158,366
57,storybook,storybookjs,https://github.com/storybookjs/storybook,70201,2016-03-18T04:23:44Z,2022-04-17T14:54:54Z,6419,1622
58,thefuck,nvbn,https://github.com/nvbn/thefuck,70265,2015-04-08T15:08:04Z,2022-04-17T15:28:25Z,467,99
59,laravel,laravel,https://github.com/laravel/laravel,69378,2011-06-08T03:06:08Z,2022-04-17T14:08:15Z,1415,2793
60,Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,69159,2012-02-17T14:19:43Z,2022-04-17T15:16:19Z,190,424
61,tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,68709,2016-07-05T05:00:48Z,2022-04-17T12:45:48Z,169,47
62,clean-code-javascript,ryanmcdermott,https://github.com/ryanmcdermott/clean-code-javascript,66134,2016-11-25T22:25:41Z,2022-04-17T15:07:13Z,146,89
63,project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,66186,2017-04-12T05:07:46Z,2022-04-17T15:28:50Z,176,99
64,rust,rust-lang,https://github.com/rust-lang/rust,65600,2010-06-16T20:39:03Z,2022-04-17T13:47:03Z,39575,12591
65,the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,65540,2018-06-23T10:43:14Z,2022-04-17T15:09:14Z,122,68
66,realworld,gothinkster,https://github.com/gothinkster/realworld,65302,2016-02-26T20:49:53Z,2022-04-17T15:21:28Z,218,87
67,awesome-vue,vuejs,https://github.com/vuejs/awesome-vue,64664,2015-10-20T00:16:14Z,2022-04-17T09:52:31Z,3293,331
68,scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,63975,2017-11-21T18:00:27Z,2022-04-17T15:15:14Z,54,219
69,django,django,https://github.com/django/django,63524,2012-04-28T02:47:18Z,2022-04-17T15:03:30Z,7328,8078
70,bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,63382,2010-12-19T15:16:43Z,2022-04-17T15:27:17Z,11563,5247
71,FiraCode,tonsky,https://github.com/tonsky/FiraCode,63210,2014-11-11T19:32:38Z,2022-04-17T14:51:12Z,118,43
72,moby,moby,https://github.com/moby/moby,62819,2013-01-18T18:10:57Z,2022-04-17T14:56:39Z,17213,4525
73,advanced-java,doocs,https://github.com/doocs/advanced-java,62234,2018-10-06T11:38:30Z,2022-04-17T15:19:43Z,66,37
74,transformers,huggingface,https://github.com/huggingface/transformers,61126,2018-10-29T13:56:00Z,2022-04-17T14:59:51Z,6163,1335
75,opencv,opencv,https://github.com/opencv/opencv,60969,2012-07-19T09:40:17Z,2022-04-17T14:34:52Z,10485,2397
76,webpack,webpack,https://github.com/webpack/webpack,60860,2012-03-10T10:08:14Z,2022-04-17T15:03:06Z,4146,1397
