,name,owner,url,stargazers,createdAt,updatedAt,pullRequestMerged,pullRequestClosed
31,electron,{'login': 'electron'},https://github.com/electron/electron,{'totalCount': 101294},2013-04-12T01:47:36Z,2022-04-17T15:29:34Z,{'totalCount': 14528},{'totalCount': 1864}
32,d3,{'login': 'd3'},https://github.com/d3/d3,{'totalCount': 100956},2010-09-27T17:22:42Z,2022-04-17T14:32:24Z,{'totalCount': 439},{'totalCount': 673}
33,go,{'login': 'golang'},https://github.com/golang/go,{'totalCount': 97966},2014-08-19T04:33:40Z,2022-04-17T14:57:14Z,{'totalCount': 0},{'totalCount': 1969}
34,create-react-app,{'login': 'facebook'},https://github.com/facebook/create-react-app,{'totalCount': 94492},2016-07-17T14:55:11Z,2022-04-17T15:04:22Z,{'totalCount': 1922},{'totalCount': 1692}
35,30-seconds-of-code,{'login': '30-seconds'},https://github.com/30-seconds/30-seconds-of-code,{'totalCount': 94032},2017-11-29T17:35:03Z,2022-04-17T15:28:56Z,{'totalCount': 752},{'totalCount': 729}
36,axios,{'login': 'axios'},https://github.com/axios/axios,{'totalCount': 92543},2014-08-18T22:30:27Z,2022-04-17T14:25:43Z,{'totalCount': 483},{'totalCount': 437}
37,free-programming-books-zh_CN,{'login': 'justjavac'},https://github.com/justjavac/free-programming-books-zh_CN,{'totalCount': 91017},2013-11-04T01:59:19Z,2022-04-17T15:21:10Z,{'totalCount': 269},{'totalCount': 135}
38,kubernetes,{'login': 'kubernetes'},https://github.com/kubernetes/kubernetes,{'totalCount': 87550},2014-06-06T22:56:04Z,2022-04-17T15:12:01Z,{'totalCount': 51165},{'totalCount': 16924}
39,node,{'login': 'nodejs'},https://github.com/nodejs/node,{'totalCount': 86895},2014-11-26T19:57:11Z,2022-04-17T15:18:22Z,{'totalCount': 4041},{'totalCount': 22654}
40,next.js,{'login': 'vercel'},https://github.com/vercel/next.js,{'totalCount': 85372},2016-10-05T23:32:51Z,2022-04-17T15:23:16Z,{'totalCount': 8686},{'totalCount': 2124}
41,awesome-selfhosted,{'login': 'awesome-selfhosted'},https://github.com/awesome-selfhosted/awesome-selfhosted,{'totalCount': 85397},2015-06-01T02:33:17Z,2022-04-17T15:19:15Z,{'totalCount': 1754},{'totalCount': 409}
42,terminal,{'login': 'microsoft'},https://github.com/microsoft/terminal,{'totalCount': 82328},2017-08-11T18:38:22Z,2022-04-17T14:46:19Z,{'totalCount': 2596},{'totalCount': 315}
43,deno,{'login': 'denoland'},https://github.com/denoland/deno,{'totalCount': 81618},2018-05-15T01:34:26Z,2022-04-17T15:28:25Z,{'totalCount': 6272},{'totalCount': 1558}
44,three.js,{'login': 'mrdoob'},https://github.com/mrdoob/three.js,{'totalCount': 81034},2010-03-23T18:58:01Z,2022-04-17T14:22:34Z,{'totalCount': 9619},{'totalCount': 2952}
45,angular,{'login': 'angular'},https://github.com/angular/angular,{'totalCount': 80783},2014-09-18T16:12:01Z,2022-04-17T15:31:42Z,{'totalCount': 3073},{'totalCount': 17824}
46,TypeScript,{'login': 'microsoft'},https://github.com/microsoft/TypeScript,{'totalCount': 79752},2014-06-17T15:28:39Z,2022-04-17T15:02:31Z,{'totalCount': 11691},{'totalCount': 2473}
47,ant-design,{'login': 'ant-design'},https://github.com/ant-design/ant-design,{'totalCount': 79447},2015-04-24T15:37:24Z,2022-04-17T14:00:24Z,{'totalCount': 8362},{'totalCount': 2245}
48,awesome-go,{'login': 'avelino'},https://github.com/avelino/awesome-go,{'totalCount': 78959},2014-07-06T13:42:15Z,2022-04-17T14:29:44Z,{'totalCount': 2704},{'totalCount': 1032}
49,material-ui,{'login': 'mui'},https://github.com/mui/material-ui,{'totalCount': 77485},2014-08-18T19:11:54Z,2022-04-17T14:22:08Z,{'totalCount': 13132},{'totalCount': 2903}
50,puppeteer,{'login': 'puppeteer'},https://github.com/puppeteer/puppeteer,{'totalCount': 77364},2017-05-09T22:16:13Z,2022-04-17T14:53:15Z,{'totalCount': 2290},{'totalCount': 525}
51,nodebestpractices,{'login': 'goldbergyoni'},https://github.com/goldbergyoni/nodebestpractices,{'totalCount': 76770},2017-09-15T08:33:19Z,2022-04-17T14:43:27Z,{'totalCount': 723},{'totalCount': 126}
52,vue-element-admin,{'login': 'PanJiaChen'},https://github.com/PanJiaChen/vue-element-admin,{'totalCount': 75474},2017-04-17T03:35:49Z,2022-04-17T14:27:04Z,{'totalCount': 313},{'totalCount': 147}
53,java-design-patterns,{'login': 'iluwatar'},https://github.com/iluwatar/java-design-patterns,{'totalCount': 74312},2014-08-09T16:45:18Z,2022-04-17T14:43:00Z,{'totalCount': 846},{'totalCount': 364}
54,animate.css,{'login': 'animate-css'},https://github.com/animate-css/animate.css,{'totalCount': 74259},2011-10-12T10:07:38Z,2022-04-17T15:03:15Z,{'totalCount': 306},{'totalCount': 366}
55,models,{'login': 'tensorflow'},https://github.com/tensorflow/models,{'totalCount': 73342},2016-02-05T01:15:20Z,2022-04-17T13:02:23Z,{'totalCount': 2223},{'totalCount': 1218}
56,PowerToys,{'login': 'microsoft'},https://github.com/microsoft/PowerToys,{'totalCount': 71889},2019-05-01T17:44:02Z,2022-04-17T15:03:37Z,{'totalCount': 3158},{'totalCount': 366}
57,storybook,{'login': 'storybookjs'},https://github.com/storybookjs/storybook,{'totalCount': 70201},2016-03-18T04:23:44Z,2022-04-17T14:54:54Z,{'totalCount': 6419},{'totalCount': 1622}
58,thefuck,{'login': 'nvbn'},https://github.com/nvbn/thefuck,{'totalCount': 70265},2015-04-08T15:08:04Z,2022-04-17T15:28:25Z,{'totalCount': 467},{'totalCount': 99}
59,laravel,{'login': 'laravel'},https://github.com/laravel/laravel,{'totalCount': 69378},2011-06-08T03:06:08Z,2022-04-17T14:08:15Z,{'totalCount': 1415},{'totalCount': 2793}
60,Font-Awesome,{'login': 'FortAwesome'},https://github.com/FortAwesome/Font-Awesome,{'totalCount': 69159},2012-02-17T14:19:43Z,2022-04-17T15:16:19Z,{'totalCount': 190},{'totalCount': 424}
61,tech-interview-handbook,{'login': 'yangshun'},https://github.com/yangshun/tech-interview-handbook,{'totalCount': 68709},2016-07-05T05:00:48Z,2022-04-17T12:45:48Z,{'totalCount': 169},{'totalCount': 47}
62,clean-code-javascript,{'login': 'ryanmcdermott'},https://github.com/ryanmcdermott/clean-code-javascript,{'totalCount': 66134},2016-11-25T22:25:41Z,2022-04-17T15:07:13Z,{'totalCount': 146},{'totalCount': 89}
63,project-based-learning,{'login': 'practical-tutorials'},https://github.com/practical-tutorials/project-based-learning,{'totalCount': 66186},2017-04-12T05:07:46Z,2022-04-17T15:28:50Z,{'totalCount': 176},{'totalCount': 99}
64,rust,{'login': 'rust-lang'},https://github.com/rust-lang/rust,{'totalCount': 65600},2010-06-16T20:39:03Z,2022-04-17T13:47:03Z,{'totalCount': 39575},{'totalCount': 12591}
65,the-book-of-secret-knowledge,{'login': 'trimstray'},https://github.com/trimstray/the-book-of-secret-knowledge,{'totalCount': 65540},2018-06-23T10:43:14Z,2022-04-17T15:09:14Z,{'totalCount': 122},{'totalCount': 68}
66,realworld,{'login': 'gothinkster'},https://github.com/gothinkster/realworld,{'totalCount': 65302},2016-02-26T20:49:53Z,2022-04-17T15:21:28Z,{'totalCount': 218},{'totalCount': 87}
67,awesome-vue,{'login': 'vuejs'},https://github.com/vuejs/awesome-vue,{'totalCount': 64664},2015-10-20T00:16:14Z,2022-04-17T09:52:31Z,{'totalCount': 3293},{'totalCount': 331}
68,scrcpy,{'login': 'Genymobile'},https://github.com/Genymobile/scrcpy,{'totalCount': 63975},2017-11-21T18:00:27Z,2022-04-17T15:15:14Z,{'totalCount': 54},{'totalCount': 219}
69,django,{'login': 'django'},https://github.com/django/django,{'totalCount': 63524},2012-04-28T02:47:18Z,2022-04-17T15:03:30Z,{'totalCount': 7328},{'totalCount': 8078}
70,bitcoin,{'login': 'bitcoin'},https://github.com/bitcoin/bitcoin,{'totalCount': 63382},2010-12-19T15:16:43Z,2022-04-17T15:27:17Z,{'totalCount': 11563},{'totalCount': 5247}
71,FiraCode,{'login': 'tonsky'},https://github.com/tonsky/FiraCode,{'totalCount': 63210},2014-11-11T19:32:38Z,2022-04-17T14:51:12Z,{'totalCount': 118},{'totalCount': 43}
72,moby,{'login': 'moby'},https://github.com/moby/moby,{'totalCount': 62819},2013-01-18T18:10:57Z,2022-04-17T14:56:39Z,{'totalCount': 17213},{'totalCount': 4525}
73,advanced-java,{'login': 'doocs'},https://github.com/doocs/advanced-java,{'totalCount': 62234},2018-10-06T11:38:30Z,2022-04-17T15:19:43Z,{'totalCount': 66},{'totalCount': 37}
74,transformers,{'login': 'huggingface'},https://github.com/huggingface/transformers,{'totalCount': 61126},2018-10-29T13:56:00Z,2022-04-17T14:59:51Z,{'totalCount': 6163},{'totalCount': 1335}
75,opencv,{'login': 'opencv'},https://github.com/opencv/opencv,{'totalCount': 60969},2012-07-19T09:40:17Z,2022-04-17T14:34:52Z,{'totalCount': 10485},{'totalCount': 2397}
76,webpack,{'login': 'webpack'},https://github.com/webpack/webpack,{'totalCount': 60860},2012-03-10T10:08:14Z,2022-04-17T15:03:06Z,{'totalCount': 4146},{'totalCount': 1397}
77,spring-boot,{'login': 'spring-projects'},https://github.com/spring-projects/spring-boot,{'totalCount': 60642},2012-10-19T15:02:57Z,2022-04-17T14:44:29Z,{'totalCount': 41},{'totalCount': 5117}
78,json-server,{'login': 'typicode'},https://github.com/typicode/json-server,{'totalCount': 60655},2013-11-27T13:21:13Z,2022-04-17T11:47:48Z,{'totalCount': 100},{'totalCount': 134}
79,angular.js,{'login': 'angular'},https://github.com/angular/angular.js,{'totalCount': 59486},2010-01-06T00:34:37Z,2022-04-17T10:52:02Z,{'totalCount': 789},{'totalCount': 7133}
80,reveal.js,{'login': 'hakimel'},https://github.com/hakimel/reveal.js,{'totalCount': 59397},2011-06-07T18:54:22Z,2022-04-17T15:31:38Z,{'totalCount': 363},{'totalCount': 512}
81,swift,{'login': 'apple'},https://github.com/apple/swift,{'totalCount': 59260},2015-10-23T21:15:07Z,2022-04-17T12:51:10Z,{'totalCount': 36957},{'totalCount': 4775}
82,elasticsearch,{'login': 'elastic'},https://github.com/elastic/elasticsearch,{'totalCount': 59202},2010-02-08T13:20:56Z,2022-04-17T14:47:31Z,{'totalCount': 48174},{'totalCount': 7388}
83,Front-End-Checklist,{'login': 'thedaviddias'},https://github.com/thedaviddias/Front-End-Checklist,{'totalCount': 58997},2017-10-16T10:12:36Z,2022-04-17T15:11:44Z,{'totalCount': 169},{'totalCount': 112}
84,netdata,{'login': 'netdata'},https://github.com/netdata/netdata,{'totalCount': 58854},2013-06-17T18:39:10Z,2022-04-17T14:32:32Z,{'totalCount': 5187},{'totalCount': 619}
85,flask,{'login': 'pallets'},https://github.com/pallets/flask,{'totalCount': 58607},2010-04-06T11:11:59Z,2022-04-17T13:57:05Z,{'totalCount': 1323},{'totalCount': 820}
86,hugo,{'login': 'gohugoio'},https://github.com/gohugoio/hugo,{'totalCount': 58306},2013-07-04T15:26:26Z,2022-04-17T15:24:01Z,{'totalCount': 1679},{'totalCount': 2022}
87,redux,{'login': 'reduxjs'},https://github.com/reduxjs/redux,{'totalCount': 57855},2015-05-29T23:53:15Z,2022-04-17T15:21:52Z,{'totalCount': 1508},{'totalCount': 772}
88,gin,{'login': 'gin-gonic'},https://github.com/gin-gonic/gin,{'totalCount': 57632},2014-06-16T23:57:25Z,2022-04-17T15:27:23Z,{'totalCount': 813},{'totalCount': 390}
89,svelte,{'login': 'sveltejs'},https://github.com/sveltejs/svelte,{'totalCount': 57411},2016-11-20T18:13:05Z,2022-04-17T15:02:13Z,{'totalCount': 2339},{'totalCount': 547}
90,atom,{'login': 'atom'},https://github.com/atom/atom,{'totalCount': 57338},2012-01-20T18:18:21Z,2022-04-17T14:05:03Z,{'totalCount': 3924},{'totalCount': 1276}
91,papers-we-love,{'login': 'papers-we-love'},https://github.com/papers-we-love/papers-we-love,{'totalCount': 57385},2013-12-15T14:31:41Z,2022-04-17T15:30:27Z,{'totalCount': 398},{'totalCount': 77}
92,nvm,{'login': 'nvm-sh'},https://github.com/nvm-sh/nvm,{'totalCount': 56990},2010-04-15T17:47:47Z,2022-04-17T14:57:17Z,{'totalCount': 654},{'totalCount': 253}
93,express,{'login': 'expressjs'},https://github.com/expressjs/express,{'totalCount': 56669},2009-06-26T18:56:01Z,2022-04-17T15:28:57Z,{'totalCount': 252},{'totalCount': 794}
94,Chart.js,{'login': 'chartjs'},https://github.com/chartjs/Chart.js,{'totalCount': 56669},2013-03-17T23:56:36Z,2022-04-17T15:24:43Z,{'totalCount': 2615},{'totalCount': 764}
95,jquery,{'login': 'jquery'},https://github.com/jquery/jquery,{'totalCount': 56107},2009-04-03T15:20:14Z,2022-04-17T07:29:14Z,{'totalCount': 546},{'totalCount': 2188}
96,tailwindcss,{'login': 'tailwindlabs'},https://github.com/tailwindlabs/tailwindcss,{'totalCount': 55628},2017-10-06T14:59:14Z,2022-04-17T15:27:26Z,{'totalCount': 1356},{'totalCount': 356}
97,socket.io,{'login': 'socketio'},https://github.com/socketio/socket.io,{'totalCount': 55568},2010-03-11T18:24:48Z,2022-04-17T15:12:34Z,{'totalCount': 407},{'totalCount': 394}
98,pytorch,{'login': 'pytorch'},https://github.com/pytorch/pytorch,{'totalCount': 55353},2016-08-13T05:26:41Z,2022-04-17T15:22:57Z,{'totalCount': 5069},{'totalCount': 41951}
99,frp,{'login': 'fatedier'},https://github.com/fatedier/frp,{'totalCount': 55276},2015-12-21T15:24:59Z,2022-04-17T15:05:39Z,{'totalCount': 378},{'totalCount': 182}
